ssid,bssid,signal_dbm,encryption,authentication,channel,is_risky,risk_reason
CyberCafe_Free,74:ff:9c:24:35:87,-85,WPA,PSK,1,0,Safe
Sai,a4:61:82:9a:83:e9,-74,WPA2,PSK,1,0,Safe
Airtel_5G,62:58:7c:cb:f3:54,-89,WPA,PSK,10,0,Safe
JioFiber_Home,5e:03:72:61:72:8a,-42,OPEN,NONE,6,1,Open Network
TP-Link_5G,74:dd:ba:9d:3e:9f,-37,OPEN,NONE,1,1,Open Network
Om_Shop,92:7e:a4:38:99:7c,-81,OPEN,NONE,5,1,Open Network
Sai,3c:7e:8f:af:25:99,-79,WPA2,PSK,5,0,Safe
TP-Link123,20:8c:ff:a1:3c:6b,-54,WEP,PSK,2,1,Weak Encryption (WEP)
Shiv_Free,bc:2c:de:21:39:02,-75,WEP,PSK,5,1,Weak Encryption (WEP)
JioFiber,34:c7:b6:79:bd:8c,-67,OPEN,NONE,1,1,Open Network
Free_Public_WiFi,84:be:8c:9d:8c:f5,-45,WPA2,PSK,2,0,Safe
D-Link123,f4:bf:ce:0d:43:aa,-81,WPA,PSK,8,0,Safe
TP-Link_Guest,fc:0c:23:43:50:67,-30,WEP,PSK,9,1,Weak Encryption (WEP)
Om123,9a:51:82:f5:70:92,-60,OPEN,NONE,8,1,Open Network
Om,50:14:71:3e:fe:27,-48,OPEN,NONE,10,1,Open Network
Ganpati_5G,f8:5f:fa:1f:b3:01,-88,WPA2,PSK,5,0,Safe
TP-Link,8c:f8:44:b9:8f:22,-76,WPA2,PSK,8,0,Safe
Free_Public_WiFi,c8:0d:c9:a0:25:2f,-51,OPEN,NONE,5,1,Open Network
Sai_Home,8c:d6:3a:69:11:14,-86,WEP,PSK,9,1,Weak Encryption (WEP)
Airtel_Free,d0:6f:93:fb:68:c4,-33,OPEN,NONE,1,1,Open Network
D-Link_Shop,98:40:28:db:56:00,-40,OPEN,NONE,8,1,Open Network
CyberCafe,84:e1:15:79:6e:da,-42,OPEN,NONE,4,1,Open Network
D-Link123,ac:08:9e:fc:9b:90,-64,WPA2,PSK,2,0,Safe
Om_Home,6e:ac:69:54:40:c6,-79,OPEN,NONE,7,1,Open Network
Ganpati_Guest,ea:8c:07:c9:92:4f,-37,WPA2,PSK,7,0,Safe
Ganpati_Guest,b4:da:ce:6f:57:80,-34,OPEN,NONE,10,1,Open Network
JioFiber_Guest,f8:41:37:f8:81:bf,-88,WPA2,PSK,5,0,Safe
D-Link,a2:e6:53:62:32:3a,-62,WPA2,PSK,11,0,Safe
